ticket_id,purchase_date,ticket_created_at,first_response_at,resolved_at,agent_name,team,channel,priority,ticket_type,status,sla_target_hours,response_time_hours,resolution_time_hours,sla_breached,csat_score
T00001,2021-03-22 00:00:00,2022-02-01 14:00:10,2022-02-01 17:13:49,2022-02-06 07:02:31,Sofia,Technical Support,Social media,Critical,Technical issue,Closed,2,3.2277585463434986,113.03934084425626,Yes,
T00002,2021-05-22 00:00:00,2022-04-04 16:42:30,2022-04-04 21:44:32,2022-04-09 18:50:06,Daniel,Technical Support,Chat,Critical,Technical issue,Closed,2,5.0339982542228885,122.12681681593905,Yes,
T00003,2020-07-14 00:00:00,2022-05-16 16:57:15,2022-05-18 18:39:14,2022-05-19 11:31:57,Jonas,Technical Support,Social media,Low,Technical issue,Closed,24,49.69983227153157,66.57835604560539,Yes,1.9710677622585955
T00004,2020-11-13 00:00:00,2022-04-11 14:25:28,2022-04-12 12:25:44,2022-04-12 14:59:53,Noah,Billing Support,Social media,Low,Billing inquiry,Closed,24,22.004479943287635,18.703953410461974,Yes,2.0432635625487774
T00005,2020-02-04 00:00:00,2022-04-25 12:09:14,2022-04-26 11:58:01,2022-04-27 13:41:41,Noah,Billing Support,Email,Low,Billing inquiry,Closed,24,23.813229724851272,49.54098084345395,Yes,1.0
T00006,2020-07-28 00:00:00,2021-08-24 16:52:04,2021-08-25 12:26:37,2021-08-26 10:38:10,Mia,General Support,Social media,Low,Cancellation request,Closed,24,19.57606297086084,41.76856592382594,No,
T00007,2020-02-23 00:00:00,2022-09-21 15:27:53,2022-09-21 18:00:54,2022-09-23 06:09:44,Mia,General Support,Social media,Critical,Product inquiry,Closed,2,2.550524655023519,38.69770494862496,Yes,
T00008,2020-08-09 00:00:00,2021-04-17 10:18:50,2021-04-17 12:40:09,,Noah,Billing Support,Social media,Critical,Refund request,Pending Customer Response,2,2.3554183337127466,34.04099104143532,Yes,
T00009,2020-07-16 00:00:00,2021-10-20 16:05:02,2021-10-21 06:09:40,,Jonas,Technical Support,Social media,Low,Technical issue,Open,24,14.07743437170701,29.83557130832075,No,
T00010,2020-03-06 00:00:00,2022-04-20 15:07:44,2022-04-20 17:09:57,2022-04-21 18:38:16,Emma,Billing Support,Phone,Critical,Refund request,Closed,2,2.037018469508106,27.508897282369514,Yes,
T00011,2021-01-19 00:00:00,2022-11-06 17:54:52,2022-11-07 00:44:02,2022-11-08 21:13:24,Lukas,General Support,Phone,High,Cancellation request,Closed,4,6.819447610707192,51.30900296602479,Yes,1.0
T00012,2021-10-24 00:00:00,2021-10-27 17:04:33,2021-10-27 19:54:18,2021-10-29 21:30:50,Mia,General Support,Chat,High,Product inquiry,Closed,4,2.829295899223264,52.43811122835738,No,1.0
T00013,2021-05-26 00:00:00,2022-12-08 14:59:53,2022-12-10 23:56:44,2022-12-15 02:33:03,Jonas,Technical Support,Chat,Low,Technical issue,Closed,24,56.94755795119626,155.55277987235274,Yes,
T00014,2020-07-13 00:00:00,2022-05-03 14:38:04,2022-05-04 04:38:36,2022-05-07 16:33:45,Daniel,Technical Support,Chat,Low,Technical issue,Closed,24,14.009064179810219,97.92821714083487,No,
T00015,2020-02-29 00:00:00,2021-10-30 10:56:34,2021-10-30 15:02:35,2021-10-30 23:52:05,Emma,Billing Support,Chat,High,Billing inquiry,Closed,4,4.100459801155708,12.92530948967661,Yes,3.3787785301406
T00016,2021-06-24 00:00:00,2021-07-04 10:55:00,2021-07-04 16:02:55,2021-07-04 23:08:23,Emma,Billing Support,Social media,High,Billing inquiry,Closed,4,5.132077869314073,12.22307962661164,Yes,
T00017,2021-10-13 00:00:00,2022-06-14 12:51:45,2022-06-14 15:32:56,,Anna,General Support,Chat,Critical,Product inquiry,Open,2,2.686654063354305,58.442039063095805,Yes,2.911778606594517
T00018,2020-09-07 00:00:00,2022-02-07 17:48:02,2022-02-07 20:07:15,2022-02-10 04:17:50,Mia,General Support,Chat,High,Product inquiry,Closed,4,2.320515308095797,58.49691546212076,No,
T00019,2021-09-23 00:00:00,2022-05-07 09:37:12,2022-05-07 19:42:46,2022-05-11 05:19:40,Lukas,General Support,Social media,High,Product inquiry,Closed,4,10.092935702636728,91.70790508031995,Yes,
T00020,2021-03-08 00:00:00,2021-03-22 10:50:29,2021-03-23 12:54:19,2021-03-23 21:15:57,Noah,Billing Support,Chat,Low,Refund request,Closed,24,26.064136232818775,25.913208526519117,Yes,4.83533992334995
T00021,2021-05-31 00:00:00,2022-03-25 09:14:45,2022-03-25 11:45:04,2022-03-28 05:45:12,Emma,Billing Support,Chat,High,Refund request,Closed,4,2.505512972553996,68.50753761546993,No,
T00022,2020-02-04 00:00:00,2022-08-30 18:41:19,2022-08-30 21:32:09,2022-09-01 02:11:18,Anna,General Support,Social media,Critical,Cancellation request,Closed,2,2.84733193958065,31.49978754443507,Yes,
T00023,2020-02-11 00:00:00,2021-12-07 16:09:12,2021-12-08 09:05:07,2021-12-09 02:31:44,Lukas,General Support,Social media,Medium,Cancellation request,Closed,8,16.931994093720697,34.37580104996078,Yes,
T00024,2021-08-06 00:00:00,2021-10-17 11:58:17,2021-10-19 09:13:37,2021-10-21 18:48:03,Daniel,Technical Support,Social media,Low,Technical issue,Closed,24,45.25577668321836,102.82964620751599,Yes,
T00025,2021-05-25 00:00:00,2022-06-12 13:59:38,2022-06-12 20:10:50,2022-06-14 04:16:28,Mia,General Support,Email,Critical,Product inquiry,Closed,2,6.186711784189096,38.2806938280235,Yes,
T00026,2021-07-05 00:00:00,2021-04-27 18:32:30,2021-04-28 00:57:28,2021-04-29 20:52:43,Anna,General Support,Social media,Medium,Product inquiry,Closed,8,6.416364102877077,50.336947650679676,No,
T00027,2020-05-02 00:00:00,2021-11-19 11:28:44,2021-11-20 11:16:59,2021-11-20 11:53:58,Emma,Billing Support,Social media,Low,Billing inquiry,Closed,24,23.804179094173104,24.420684611660917,Yes,
T00028,2020-10-12 00:00:00,2022-03-02 10:34:46,2022-03-02 16:28:25,2022-03-03 05:51:27,Mia,General Support,Phone,High,Cancellation request,Closed,4,5.8941673373442915,19.27805913210618,Yes,
T00029,2020-06-10 00:00:00,2022-02-10 09:42:26,2022-02-10 11:29:53,2022-02-12 15:02:17,Jonas,Technical Support,Phone,Critical,Technical issue,Closed,2,1.7908507213628586,53.330999229367364,Yes,4.167060401165032
T00030,2020-12-26 00:00:00,2022-05-07 11:03:38,2022-05-07 19:48:55,2022-05-08 05:50:05,Mia,General Support,Phone,Medium,Cancellation request,Closed,8,8.75476547616588,18.774189069108342,Yes,1.0
T00031,2021-01-28 00:00:00,2021-01-08 13:43:53,2021-01-09 06:29:32,2021-01-10 02:48:47,Noah,Billing Support,Email,Low,Billing inquiry,Closed,24,16.761088989852066,37.08181507120925,No,
